# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.00417086835118  	p                 	1.0124078597e+05	(2.5462186828e+00 5.0101104298e-01 1.9052710221e+00)	5	1.0144989645e+05	(2.1600594556e+00 2.4921023218e-02 2.9785868949e+00)	5
0.00442130076456  	p                 	1.0124237148e+05	(2.5469524431e+00 5.0074549277e-01 2.1061019179e+00)	5	1.0145823364e+05	(2.0045715633e+00 2.4921090786e-02 2.9785869745e+00)	5
0.00467173317795  	p                 	1.0120602461e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146200979e+05	(1.9527427487e+00 2.7499741836e-01 2.9791991027e+00)	5
0.00492216559133  	p                 	1.0119901805e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146336480e+05	(1.7972546938e+00 3.7500001964e-01 2.9792028942e+00)	4
0.00517259800471  	p                 	1.0120373518e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146280876e+05	(1.7454253922e+00 5.7500035846e-01 2.9792039511e+00)	4
0.00542303041809  	p                 	1.0121059679e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146049728e+05	(1.6417663467e+00 6.7500049865e-01 2.9792037135e+00)	4
0.00567346283147  	p                 	1.0121880037e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0145692431e+05	(1.5381073924e+00 7.2500043825e-01 2.9792035087e+00)	4
0.00592389524485  	p                 	1.0122772347e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0145261898e+05	(1.4862782519e+00 8.7500076753e-01 2.9792034852e+00)	4
0.00617432765824  	p                 	1.0123470555e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0144801693e+05	(3.3521332508e+00 8.7500043279e-01 2.9792040237e+00)	5
0.00642476007162  	p                 	1.0123858503e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0144340923e+05	(1.3307903530e+00 1.0750009320e+00 2.9792033747e+00)	4
0.006675192485    	p                 	1.0124134618e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0144688130e+05	(2.5443418702e+00 1.0028039357e-01 1.5039550103e+00)	5
0.00692562489838  	p                 	1.0124578214e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0145430890e+05	(2.5443418702e+00 1.0028039357e-01 1.5039550103e+00)	5
0.00717605731176  	p                 	1.0125285877e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146157342e+05	(2.5443418702e+00 1.0028039357e-01 1.5039550103e+00)	5
0.00742648972514  	p                 	1.0126060117e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0146811142e+05	(2.3374554212e+00 1.0024044928e-01 1.7046555155e+00)	5
0.00767692213852  	p                 	1.0126843708e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0147529755e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00792735455191  	p                 	1.0127166797e+05	(3.3521332508e+00 8.7500043279e-01 2.9792040237e+00)	5	1.0148194472e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00817778696529  	p                 	1.0127206607e+05	(3.4039623037e+00 9.7500059656e-01 2.9792037806e+00)	5	1.0148813207e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00842821937867  	p                 	1.0127372673e+05	(3.4557914287e+00 1.0750008193e+00 2.9792034280e+00)	5	1.0149329326e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00867865179205  	p                 	1.0127704085e+05	(3.6112784269e+00 1.0750008322e+00 2.9792029351e+00)	5	1.0149704346e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00892908420543  	p                 	1.0128191055e+05	(3.7667657073e+00 1.0750004272e+00 2.9792029930e+00)	5	1.0149866447e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.00917951661881  	p                 	1.0128931543e+05	(3.8185941769e+00 1.1750006089e+00 2.9792024522e+00)	5	1.0149773479e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0094299490322   	p                 	1.0129963108e+05	(3.8704224422e+00 1.2250005436e+00 2.9792018579e+00)	5	1.0149529939e+05	(1.9146402859e-01 2.2796020502e+00 2.9737700502e+00)	4
